,HC,UF,TU,LE,UC,MU,WU,AB,DE,OV,CU,OD,KW,TN
HC,0,115,122,213,197,226,225,408,438,345,194,216,420,491
UF,115,0,26,163,159,141,145,307,343,212,130,102,368,432
TU,122,26,0,123,107,120,110,297,334,202,129,92,400,464
LE,213,163,123,0,23,75,73,231,260,193,223,169,485,549
UC,197,159,107,23,0,53,52,232,262,171,201,148,464,528
MU,226,141,120,75,53,0,4,213,249,121,185,131,447,511
WU,225,145,110,73,52,4,0,217,253,124,188,135,451,515
AB,408,307,297,231,232,213,217,0,27,102,249,212,485,523
DE,438,343,334,260,262,249,253,27,0,194,285,247,488,526
OV,345,212,202,193,171,121,124,102,194,0,226,173,483,547
CU,194,130,129,223,201,185,188,249,285,226,0,59,273,337
OD,216,102,92,169,148,131,135,212,247,173,59,0,320,384
KW,420,368,400,485,464,447,451,485,488,483,273,320,0,135
TN,491,432,464,549,528,511,515,523,526,547,337,384,135,0
