,HC,UF,TU,LE,UC,MU,WU,AB,DE,OV,CU,OD,KW,TN
HC,0,114,128,205,189,212,217,389,424,315,215,221,385,454
UF,114,0,39,222,207,195,205,321,347,223,119,109,339,400
TU,128,39,0,132,116,124,132,312,346,221,136,108,376,438
LE,205,222,132,0,37,75,79,252,283,179,205,156,443,505
UC,189,207,116,37,0,55,59,234,264,159,184,137,422,485
MU,212,195,124,75,55,0,9,202,234,109,172,123,408,471
WU,217,205,132,79,59,9,0,208,263,114,178,129,415,479
AB,389,321,312,252,234,202,208,0,39,106,280,214,428,461
DE,424,347,346,283,264,234,263,39,0,138,284,245,431,464
OV,315,223,221,179,159,109,114,106,138,0,166,125,385,418
CU,215,119,136,205,184,172,178,280,284,166,0,59,263,327
OD,221,109,108,156,137,123,129,214,245,125,59,0,298,357
KW,385,339,376,443,422,408,415,428,431,385,263,298,0,132
TN,454,400,438,505,485,471,479,461,464,418,327,357,132,0
